config_name,model_name,strategy,f1_macro,accuracy,f1_discouraging,f1_conditional,f1_encouraging,best_val_f1,training_time
bert-base,bert-base-uncased,full,0.4376,0.8028,0.9091,0.1538,0.25,0.8972,1.6
roberta-base,roberta-base,full,0.6086,0.8451,0.9167,0.3636,0.5455,0.8678,1.0
scibert-full,allenai/scibert_scivocab_uncased,full,0.3021,0.8169,0.9062,0.0,0.0,0.9089,0.8
scibert-lora,allenai/scibert_scivocab_uncased,lora,0.4444,0.7465,0.8475,0.2,0.2857,0.5687,1.0
roberta-best,roberta-base,full+balanced+strong_weights,0.6821,0.831,0.9091,0.4706,0.6667,0.8395,1.0
