config_name,model_name,strategy,f1_macro,accuracy,f1_discouraging,f1_conditional,f1_encouraging,best_val_f1,training_time
Zero-Shot BERT (baseline),bart-large-mnli,zero-shot,0.646,0.6471,0.6667,0.545,0.727,,
roberta-base,roberta-base,full,0.5741,0.7887,0.2353,0.887,0.6,0.8943,1.4
SVM-tuned (classical),TF-IDF+LinearSVC,classical,0.4667,0.4706,0.4,0.3333,0.6667,,
scibert-full,allenai/scibert_scivocab_uncased,full,0.3997,0.831,0.0,0.9134,0.2857,0.8635,0.8
scibert-lora,allenai/scibert_scivocab_uncased,lora,0.3329,0.7042,0.0,0.8448,0.1538,0.5722,1.0
bert-base,bert-base-uncased,full,0.2997,0.8169,0.0,0.8992,0.0,0.8939,0.8
