tool,n_total,pct_disc,pct_cond,pct_enc
ChatGPT,317,31.230283911671926,4.73186119873817,64.03785488958991
GPT,199,32.1608040201005,6.532663316582915,61.30653266331658
Copilot,24,29.166666666666668,4.166666666666666,66.66666666666666
Gemini,18,16.666666666666664,0.0,83.33333333333334
DALL-E,27,25.925925925925924,7.4074074074074066,66.66666666666666
Bard,23,17.391304347826086,0.0,82.6086956521739
Claude,25,28.000000000000004,0.0,72.0
Generic AI,769,23.927178153446032,14.174252275682706,61.89856957087127
